#RUF_ID	Strand	EMBLAccession	ExpressionRank
RUF_131439_131497 	 + 	 AE017225 	 17
RUF_3622719_3622821 	 + 	 AE017225 	 58
RUF_115934_116050 	 + 	 AE017225 	 62
RUF_106996_107065 	 + 	 AE017225 	 71
RUF_123734_123796 	 + 	 AE017225 	 72
RUF_132892_132962 	 + 	 AE017225 	 94
RUF_84130_84195 	 + 	 AE017225 	 114
RUF_3300338_3300556 	 + 	 AE017225 	 260
RUF_120763_120963 	 + 	 AE017225 	 310
RUF_4733484_4733534 	 + 	 AE017225 	 342
RUF_138995_139149 	 + 	 AE017225 	 349
RUF_3604842_3604933 	 + 	 AE017225 	 404
RUF_3826286_3826612 	 + 	 AE017225 	 409
RUF_1224435_1224572 	 + 	 AE017225 	 427
RUF_4402019_4402166 	 + 	 AE017225 	 460
RUF_119257_119376 	 + 	 AE017225 	 471
RUF_1155029_1155158 	 + 	 AE017225 	 472
RUF_4001722_4001811 	 + 	 AE017225 	 474
RUF_4631928_4631999 	 + 	 AE017225 	 484
RUF_116971_117180 	 + 	 AE017225 	 492
RUF_5040548_5040669 	 + 	 AE017225 	 496
RUF_1273285_1273436 	 + 	 AE017225 	 510
RUF_4329164_4329244 	 + 	 AE017225 	 538
RUF_105393_105572 	 + 	 AE017225 	 545
RUF_3826012_3826102 	 + 	 AE017225 	 577
RUF_134129_134311 	 + 	 AE017225 	 590
RUF_5063028_5063147 	 + 	 AE017225 	 812
RUF_4403280_4403702 	 + 	 AE017225 	 842
RUF_359347_359403 	 + 	 AE017225 	 1105
RUF_107423_107499 	 + 	 AE017225 	 1212
RUF_4967742_4968262 	 + 	 AE017225 	 1317
RUF_5044775_5044833 	 + 	 AE017225 	 1343
RUF_3825891_3826090 	 + 	 AE017225 	 1354
RUF_3659216_3659318 	 + 	 AE017225 	 1597
RUF_5074649_5074761 	 + 	 AE017225 	 1652
RUF_1014336_1014551 	 + 	 AE017225 	 2168
RUF_3872119_3872446 	 + 	 AE017225 	 2748
RUF_3666894_3666965 	 + 	 AE017225 	 2911
RUF_5076873_5076981 	 + 	 AE017225 	 3409
RUF_1016890_1017025 	 + 	 AE017225 	 4986
RUF_2727456_2727511 	 + 	 AE017225 	 5241
RUF_4379674_4379745 	 + 	 AE017225 	 5571
RUF_116972_117180 	 + 	 AE017194 	 188
RUF_5038196_5038316 	 + 	 AE017194 	 270
RUF_120775_120939 	 + 	 AE017194 	 297
RUF_104798_104967 	 + 	 AE017194 	 329
RUF_4776918_4777058 	 + 	 AE017194 	 415
RUF_5211696_5211889 	 - 	 AE017194 	 1827
RUF_139648_139830 	 + 	 AE016877 	 100
RUF_3782852_3782954 	 - 	 AE016877 	 149
RUF_110316_110485 	 + 	 AE016877 	 343
RUF_4803926_4804169 	 - 	 AE016877 	 352
RUF_514492_514735 	 + 	 AE016877 	 407
RUF_155613_155847 	 + 	 AE016877 	 408
RUF_86691_86935 	 + 	 AE016877 	 411
RUF_722915_723160 	 + 	 AE016877 	 417
RUF_4519981_4520134 	 - 	 AE016877 	 516
RUF_267882_267944 	 + 	 CP001503 	 98
RUF_470096_470402 	 + 	 CP001504 	 107
RUF_258920_259226 	 + 	 CP001503 	 109
RUF_2922073_2922379 	 + 	 CP001503 	 110
RUF_372363_372669 	 + 	 CP001504 	 111
RUF_471121_471427 	 + 	 CP001503 	 114
RUF_267086_267386 	 + 	 CP001503 	 143
RUF_76481_76551 	 + 	 CP001503 	 192
RUF_264700_264759 	 + 	 CP001503 	 202
RUF_1614686_1614814 	 + 	 CP001503 	 225
RUF_77428_77502 	 + 	 CP001503 	 244
RUF_983874_984012 	 + 	 CP001503 	 251
RUF_403305_403384 	 + 	 CP001503 	 256
RUF_2083434_2083489 	 + 	 CP001504 	 279
RUF_91306_91393 	 + 	 CP001503 	 294
RUF_265812_265957 	 + 	 CP001503 	 325
RUF_2338285_2338475 	 + 	 CP001503 	 327
RUF_2769368_2769979 	 + 	 CP001503 	 332
RUF_73750_73884 	 + 	 CP001503 	 333
RUF_290061_290364 	 + 	 CP001503 	 352
RUF_280574_280749 	 + 	 CP001503 	 354
RUF_1352979_1353191 	 + 	 CP001503 	 377
RUF_1615028_1615088 	 + 	 CP001503 	 380
RUF_3550759_3550912 	 + 	 CP001503 	 399
RUF_297797_297921 	 + 	 CP001503 	 425
RUF_3561349_3561540 	 + 	 CP001503 	 451
RUF_297026_297175 	 + 	 CP001503 	 463
RUF_285131_285307 	 + 	 CP001503 	 468
RUF_285158_285313 	 + 	 CP001503 	 474
RUF_263446_263511 	 + 	 CP001503 	 478
RUF_2340969_2341054 	 + 	 CP001504 	 484
RUF_281218_281339 	 + 	 CP001503 	 487
RUF_284674_284821 	 + 	 CP001503 	 510
RUF_468731_469332 	 + 	 CP001503 	 547
RUF_772335_772444 	 + 	 CP001504 	 556
RUF_78895_79040 	 + 	 CP001503 	 557
RUF_256572_257131 	 + 	 CP001503 	 565
RUF_209110_209212 	 + 	 CP001503 	 594
RUF_2924168_2924819 	 + 	 CP001503 	 765
RUF_1238884_1239011 	 + 	 CP001504 	 773
RUF_1005984_1006039 	 + 	 CP001504 	 789
